id,name,manufacturer,price,quantity,description,certifications,image1
11,Eco Write Recycled Paper Pen,Eco Write,15,1 pen,"Made from 100% recycled paper, this pen features a biodegradable body and uses non-toxic ink. Ideal for reducing plastic waste in everyday writing tasks.",FSC (Forest Stewardship Council) Certified,https://i.etsystatic.com/19893040/r/il/0ddcd7/3907960016/il_fullxfull.3907960016_ej9x.jpg
12,Sprout Plantable Pen,Sprout World,80,1 pen,"Crafted from sustainable materials, this pen contains a seed capsule at the end. Once used, plant it to grow herbs or flowers, promoting zero waste.",Cradle to Cradle Certified,"https://m.media-amazon.com/images/I/71CYbRm7EIL._AC_UF894,1000_QL80_.jpg"
13,BioQ Eco-Friendly Pen,BioQ,20,1 pen,"Composed of recycled cardboard and biodegradable plastic, this pen is designed to minimize environmental impact while providing smooth writing.",ISO 14001 Environmental Management Certified,https://m.media-amazon.com/images/I/71PNgPj9ANL.jpg
21,Eco Classic Pencil,Linc Pen & Plastics Ltd.,60,Pack of 10,"Made from recycled newspaper, these pencils reduce deforestation. They are non-toxic and biodegradable, ensuring minimal environmental impact.",FSC (Forest Stewardship Council) Certified,https://linclimited.com/wp-content/uploads/2023/04/gly-2.jpg
22,Seed Paper Pencil,Plantcil,150,Pack of 5,"Crafted from recycled paper, these pencils contain seeds that can be planted after use, promoting sustainability and reducing waste.",ISO 14001 Environmental Management,https://5.imimg.com/data5/VK/NM/MY-40248163/rainbow-seed-pencils-28plantable-pencils-that-grow-29-500x500.png
23,Staedtler Wopex Pencil,Staedtler Mars GmbH & Co. KG,200,Pack of 12,"Made from a unique composite of wood and plastic, these pencils use sustainably sourced wood and are durable, reducing the need for frequent replacement.",PEFC (Programme for the Endorsement of Forest Certification) Certified,"https://m.media-amazon.com/images/I/81FP5ZuFEaL._AC_UF894,1000_QL80_.jpg"
31,Pilot Begreen V Board Master Marker,Pilot Corporation,150,Pack of 3 markers,"Made from 91% recycled materials, refillable, and designed for whiteboards. Offers vibrant colors and smooth writing.","ISO 14001, Eco Mark (Japan)",https://c1.neweggimages.com/productimage/nb640/A86ED230511099OJE04.jpg
32,Staedtler Lumocolor Refillable Marker,Staedtler Mars GmbH & Co. KG,200,Pack of 4 markers,"Refillable markers with low odor ink, made from recycled plastic. Suitable for various surfaces, ensuring long-lasting use.","Blue Angel, ISO 14001",https://i5.walmartimages.com/asr/ca69526e-2663-4a8f-b795-7021b226905b.483dba3346a22c4e3b40821fc273e960.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
33,Faber-Castell Recycled Permanent Marker,Faber-Castell,180,Pack of 3 markers,"Made from 100% recycled plastic, these permanent markers are refillable and provide consistent ink flow for clear marking.","FSC Certified, ISO 14001","https://www.faber-castell.com/-/media/Products/Product-Repository/MULTIMARK/24-24-16-Marker/151309-Marker-MULTIMARK-permanent-F-wallet-of-8/Images/151309_2_PM1,-d-,jpg.ashx?bc=ffffff&as=0&h=900&w=900&sc_lang=en-Glob&hash=EFEC2C27275CAB3AACC163DE8C13D7C9"
41,Faber-Castell Textliner 46 Pastel Highlighter,Faber-Castell,300,Pack of 5,"Made with water-based ink and recycled plastic, these highlighters offer vibrant pastel colors and are refillable, reducing waste.","FSC Certified, ISO 14001",https://stationerypal.com/cdn/shop/products/Faber-CastellTextliner46PastelHighlighter_f4301100-14dd-4de9-9e61-514dcea589b1.jpg?v=1631171868&width=345
42,Staedtler Textsurfer Classic Highlighter,Staedtler,250,Pack of 4,"Features water-based ink and a PP barrel for long life. The ink is refillable, and the product is designed for easy recycling.","Blue Angel, ISO 14001",https://m.media-amazon.com/images/I/91TsHJGyplL.jpg
43,Stabilo Green Boss Highlighter,Stabilo,350,Pack of 4,"Made from 83% recycled plastic, these highlighters are refillable and offer a long cap-off time, reducing waste and increasing longevity.","FSC Certified, ISO 14001",https://m.media-amazon.com/images/I/81+kNuleyVL.jpg
51,EcoKraft Recycled Paper Notebook,EcoKraft India,150,1 notebook (100 pages),"Made from 100% post-consumer recycled paper, this notebook features soy-based ink printing and a biodegradable cover, ensuring minimal environmental impact.","FSC Certified, Green Seal",https://corporate-concepts.com/wp-content/uploads/2025/08/8653cf_73587145b0ce44b4a4e4a7e5aa74e6d7mv2.jpg
52,Plantable Seed Paper Notebook,PaperNest,200,1 notebook (80 pages),"Crafted from seed paper, this notebook can be planted after use. It contains seeds of native Indian plants, promoting biodiversity and reducing waste.","Cradle to Cradle Certified, ISO 14001",https://rukminim1.flixcart.com/image/800/800/jziqhzk0/diary-notebook/g/a/a/paper-nest-paper-nest-1-handmade-plantable-seed-paper-notebook-original-imafjheazn2gzqqz.jpeg?q=90
53,Bamboo Paper Notebook,GreenLeaf Stationery,250,1 notebook (120 pages),"Made from sustainably sourced bamboo pulp, this notebook is durable and compostable, offering a sustainable alternative to traditional paper products.","PEFC Certified, Rainforest Alliance Certified",https://i.etsystatic.com/38126082/r/il/09630b/6406823111/il_300x300.6406823111_7vym.jpg
61,JK Copier Green 75 GSM A4 Paper,JK Paper Ltd.,300,500 sheets,"Made from sustainable plantation wood, this paper is elemental chlorine-free and has a lower carbon footprint. Suitable for all types of printers.","FSC (Forest Stewardship Council), ISO 14001",https://5.imimg.com/data5/ANDROID/Default/2025/2/491659755/EV/JH/DP/79017429/product-jpeg-500x500.jpg
62,BILT Copy Power Eco-Friendly Paper,Ballarpur Industries Limited,350,500 sheets,"Produced using agro-residue and recycled fiber, this paper reduces deforestation and is biodegradable. Ideal for everyday printing needs.","FSC (Forest Stewardship Council), GreenPro",https://admin.bulkomatrix.com/uploads/2026/7/39.3-1.png
63,TNPL A4 Copier Paper,Tamil Nadu Newsprint and Papers Limited,320,500 sheets,"Manufactured using bagasse, a sugarcane by-product, this paper is chlorine-free and supports waste reduction. Suitable for high-speed printing.","ISO 14001, FSC (Forest Stewardship Council)",https://m.media-amazon.com/images/I/71cMKdBev3L.jpg
71,Post-it Greener Notes,3M,150,"100 sheets per pad, 12 pads","Made from 100% recycled paper and a plant-based adhesive, these sticky notes are designed to reduce environmental impact without compromising quality.","FSC Certified, PEFC Certified",https://content.etilize.com/images/500/11965314.jpg
